#,Name of the Plant,Family,Common Name,link
86,Alstonia scholaris (L.) R.Br.,APOCYNACEAE,"Chatium, Chattiyan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009268&column=szBarcode
87,Alstonia venenata R.Br.,APOCYNACEAE,Pazha Munnipala (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009270&column=szBarcode
88,Alternanthera sessilis (L.) R.Br. ex. DC.,AMARANTHACEAE,"Gudari sag, Giojihra (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008914&column=szBarcode
89,Althaea officinalis L.,MALVACEAE,Marsh Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003901&column=szBarcode
90,Althaea rosea (L.) Cav.,MALVACEAE,Holly-Hock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003900&column=szBarcode
91,Altingia excelsa Noronha,HAMAMELIDACEAE,Silaras,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013710&column=szBarcode
92,Alysicarpus longifolius (Rottler ex Spreng.) Wight & Arn.,FABACEAE,Longleaf Alyce Clover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003666&column=szBarcode
93,Alysicarpus vaginalis (L.) DC.,FABACEAE,"Chauli, Sauri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003667&column=szBarcode
94,Amaranthus lividus L.,AMARANTHACEAE,"Sada natya, Van natya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008840&column=szBarcode
95,Amaranthus tricolor L.,AMARANTHACEAE,"Lal sag, Chaulai sag",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008838&column=szBarcode
96,Amaranthus viridis L.,AMARANTHACEAE,Tanduliya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008841&column=szBarcode
97,Amaranthus caudatus L.,AMARANTHACEAE,Ram dana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008916&column=szBarcode
98,Amaranthus spinosus L.,AMARANTHACEAE,Kataili chaulai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008915&column=szBarcode
99,Ammania auriculata Willd.,LYTHRACEAE,Jangli Mehndi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013793&column=szBarcode
100,Ammania baccifera L.,LYTHRACEAE,Dadmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013791&column=szBarcode
101,Ammi visnaga (L.) Lam.,APIACEAE,Toothpick plant (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013755&column=szBarcode
102,Amomum aromaticum Roxb.,ZINGIBERACEAE,Morang elaichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003152&column=szBarcode
103,Amomum subulatum Roxb.,ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003153&column=szBarcode
104,Amorphophallus paeoniifolius (Dennst.) Nicolson,ARACEAE,"Suranakanda, Jamikanda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003223&column=szBarcode
105,Ampelocissus areneosa (Laws.) Planch.,VITACEAE,Kauraj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003612&column=szBarcode
106,Ampelocissus arnottiana (Wight & Arn.) Planch.,VITACEAE,Jangli-angur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003613&column=szBarcode
107,Ampelocissus latifolia (Roxb.) Planch.,VITACEAE,Panibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003610&column=szBarcode
108,Ampelocissus tomentosa (Roth) Planch.,VITACEAE,Atukulabadda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003611&column=szBarcode
109,Anacardium occidentale L.,ANACARDIACEAE,Kaju,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003570&column=szBarcode
110,Anagallis arvensis L.,PRIMULACEAE,Jonkmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009231&column=szBarcode
111,Anamitra cocculus Wight & Arn.,MENISPERMACEAE,Kakamari (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013995&column=szBarcode
112,Ananas comosus (L.) Merr.,BROMELIACEAE,Kazudhachakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003133&column=szBarcode
113,Anaphalis neelgerryana DC.,ASTERACEAE,Raktaskandana (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013623&column=szBarcode
114,Andrographis echinoides (L.) Nees,ACANTHACEAE,Birkubat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009045&column=szBarcode
115,Andrographis paniculata (Burm.) Wall. ex Nees,ACANTHACEAE,Kirayat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009046&column=szBarcode
116,Andropogon sorghum (L.) Brot.,POACEAE,Kafir (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003169&column=szBarcode
117,Anemone narcissiflora L.,RANUNCULACEAE,Narcissus anemone (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009954&column=szBarcode
118,Anemone obtusiloba D. Don,RANUNCULACEAE,Ageli (Jaunsar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009953&column=szBarcode
119,Angelica archangelica L.,APIACEAE,Garden Angelica (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013750&column=szBarcode
120,Aniseia martinicensis (Jacq.) Choisy.,CONVOLVULACEAE,Potupala (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009822&column=szBarcode
121,Anisochilus carnosus (Linn.f.) Wall.,LAMIACEAE,Ajapada (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008901&column=szBarcode
122,Anisomeles indica (L.) Kuntze,LAMIACEAE,Gobura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008891&column=szBarcode
123,Anisomeles malabarica (L.) R.Br.,LAMIACEAE,Chodhara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008890&column=szBarcode
124,Annona muricata L.,ANNONACEAE,Mamphal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009917&column=szBarcode
125,Annona reticulata L.,ANNONACEAE,Nona (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009916&column=szBarcode
126,Annona squamosa L.,ANNONACEAE,Sharifa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009918&column=szBarcode
127,Anodendron paniculatum A.DC.,APOCYNACEAE,Kavali (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009278&column=szBarcode
128,Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &,COMBRETACEAE,"Dhawa, Dhaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013715&column=szBarcode
129,Anthemis cotula L.,ASTERACEAE,Dog-fennel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013624&column=szBarcode
130,Anthemis nobilis L.,ASTERACEAE,Roman Chamomile (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013625&column=szBarcode
131,Anthoxanthum odoratum L.,POACEAE,Sweet Vernal Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003909&column=szBarcode
132,Anthriscus cerefolium Hoffm.,APIACEAE,French Parsley (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013985&column=szBarcode
133,Antiaris toxicaria (Pers.) Lesch.,MORACEAE,Karwat (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009771&column=szBarcode
134,Antidesma bunius Spreng.,EUPHORBIACEAE,Amati (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008989&column=szBarcode
135,Apama siliquosa Lam.,ARISTOLOCHIACEAE,Kuravankanda (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008875&column=szBarcode
136,Aphanamixis polystachya (Wall.) R.Parker,MELIACEAE,Harin-harra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009887&column=szBarcode
137,Apium graveolens L.,APIACEAE,"Shalari, Ajmud",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013759&column=szBarcode
138,Aquilegia vulgaris L.,RANUNCULACEAE,Common Columbine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009948&column=szBarcode
139,Arachis hypogaea L.,FABACEAE,Mung-phali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003685&column=szBarcode
140,Arachne cordifolia (Decne.) Hurus.,EUPHORBIACEAE,"Bharti, Bhartoi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008959&column=szBarcode
